vehicle_id,timestamp,speed,location_coordinates
1,2023-02-01 19:23:00,0,"('50.0502', '-40.2437')"
1,2023-02-01 19:28:00,25,"('55.0502', '-45.2437')"
1,2023-02-01 19:33:00,50,"('60.0502', '-50.2437')"
1,2023-02-01 19:38:00,75,"('65.05019999999999', '-55.2437')"
1,2023-02-01 19:43:00,100,"('70.05019999999999', '-60.2437')"
1,2023-02-01 19:48:00,125,"('75.05019999999999', '-65.24369999999999')"
1,2023-02-01 19:53:00,150,"('80.05019999999999', '-70.24369999999999')"
1,2023-02-01 19:58:00,175,"('54.0502', '-44.2437')"
1,2023-02-01 20:03:00,200,"('59.0502', '-49.2437')"
1,2023-02-01 20:08:00,225,"('64.05019999999999', '-54.2437')"
1,2023-02-01 20:13:00,0,"('69.05019999999999', '-59.2437')"
1,2023-02-01 20:18:00,25,"('74.05019999999999', '-64.24369999999999')"
1,2023-02-01 20:23:00,50,"('79.05019999999999', '-69.24369999999999')"
1,2023-02-01 20:28:00,75,"('53.0502', '-43.2437')"
1,2023-02-01 20:33:00,100,"('58.0502', '-48.2437')"
1,2023-02-01 20:38:00,125,"('63.0502', '-53.2437')"
1,2023-02-01 20:43:00,150,"('68.05019999999999', '-58.2437')"
1,2023-02-01 20:48:00,175,"('73.05019999999999', '-63.2437')"
1,2023-02-01 20:53:00,200,"('78.05019999999999', '-68.24369999999999')"
1,2023-02-01 20:58:00,225,"('52.0502', '-42.2437')"
1,2023-02-01 21:03:00,0,"('57.0502', '-47.2437')"
1,2023-02-01 21:08:00,25,"('62.0502', '-52.2437')"
1,2023-02-01 21:13:00,50,"('67.05019999999999', '-57.2437')"
1,2023-02-01 21:18:00,75,"('72.05019999999999', '-62.2437')"
1,2023-02-01 21:23:00,100,"('77.05019999999999', '-67.24369999999999')"
1,2023-02-01 21:28:00,125,"('51.0502', '-41.2437')"
1,2023-02-01 21:33:00,150,"('56.0502', '-46.2437')"
1,2023-02-01 21:38:00,175,"('61.0502', '-51.2437')"
1,2023-02-01 21:43:00,200,"('66.05019999999999', '-56.2437')"
1,2023-02-01 21:48:00,225,"('71.05019999999999', '-61.2437')"
1,2023-02-01 21:53:00,0,"('76.05019999999999', '-66.24369999999999')"
1,2023-02-01 21:58:00,25,"('50.0502', '-40.2437')"
1,2023-02-01 22:03:00,50,"('55.0502', '-45.2437')"
1,2023-02-01 22:08:00,75,"('60.0502', '-50.2437')"
1,2023-02-01 22:13:00,100,"('65.05019999999999', '-55.2437')"
1,2023-02-01 22:18:00,125,"('70.05019999999999', '-60.2437')"
1,2023-02-01 22:23:00,150,"('75.05019999999999', '-65.24369999999999')"
1,2023-02-01 22:28:00,175,"('80.05019999999999', '-70.24369999999999')"
1,2023-02-01 22:33:00,200,"('54.0502', '-44.2437')"
1,2023-02-01 22:38:00,225,"('59.0502', '-49.2437')"
1,2023-02-01 22:43:00,0,"('64.05019999999999', '-54.2437')"
1,2023-02-01 22:48:00,25,"('69.05019999999999', '-59.2437')"
1,2023-02-01 22:53:00,50,"('74.05019999999999', '-64.24369999999999')"
1,2023-02-01 22:58:00,75,"('79.05019999999999', '-69.24369999999999')"
1,2023-02-01 23:03:00,100,"('53.0502', '-43.2437')"
1,2023-02-01 23:08:00,125,"('58.0502', '-48.2437')"
1,2023-02-01 23:13:00,150,"('63.0502', '-53.2437')"
1,2023-02-01 23:18:00,175,"('68.05019999999999', '-58.2437')"
1,2023-02-01 23:23:00,200,"('73.05019999999999', '-63.2437')"
1,2023-02-01 23:28:00,225,"('78.05019999999999', '-68.24369999999999')"
1,2023-02-01 23:33:00,0,"('52.0502', '-42.2437')"
1,2023-02-01 23:38:00,25,"('57.0502', '-47.2437')"
1,2023-02-01 23:43:00,50,"('62.0502', '-52.2437')"
1,2023-02-01 23:48:00,75,"('67.05019999999999', '-57.2437')"
1,2023-02-01 23:53:00,100,"('72.05019999999999', '-62.2437')"
1,2023-02-01 23:58:00,125,"('77.05019999999999', '-67.24369999999999')"
1,2023-02-02 00:03:00,150,"('51.0502', '-41.2437')"
1,2023-02-02 00:08:00,175,"('56.0502', '-46.2437')"
1,2023-02-02 00:13:00,200,"('61.0502', '-51.2437')"
1,2023-02-02 00:18:00,225,"('66.05019999999999', '-56.2437')"
1,2023-02-02 00:23:00,0,"('71.05019999999999', '-61.2437')"
1,2023-02-02 00:28:00,25,"('76.05019999999999', '-66.24369999999999')"
1,2023-02-02 00:33:00,50,"('50.0502', '-40.2437')"
1,2023-02-02 00:38:00,75,"('55.0502', '-45.2437')"
1,2023-02-02 00:43:00,100,"('60.0502', '-50.2437')"
1,2023-02-02 00:48:00,125,"('65.05019999999999', '-55.2437')"
1,2023-02-02 00:53:00,150,"('70.05019999999999', '-60.2437')"
1,2023-02-02 00:58:00,175,"('75.05019999999999', '-65.24369999999999')"
1,2023-02-02 01:03:00,200,"('80.05019999999999', '-70.24369999999999')"
1,2023-02-02 01:08:00,225,"('54.0502', '-44.2437')"
1,2023-02-02 01:13:00,0,"('59.0502', '-49.2437')"
1,2023-02-02 01:18:00,25,"('64.05019999999999', '-54.2437')"
1,2023-02-02 01:23:00,50,"('69.05019999999999', '-59.2437')"
1,2023-02-02 01:28:00,75,"('74.05019999999999', '-64.24369999999999')"
1,2023-02-02 01:33:00,100,"('79.05019999999999', '-69.24369999999999')"
1,2023-02-02 01:38:00,125,"('53.0502', '-43.2437')"
1,2023-02-02 01:43:00,150,"('58.0502', '-48.2437')"
1,2023-02-02 01:48:00,175,"('63.0502', '-53.2437')"
1,2023-02-02 01:53:00,200,"('68.05019999999999', '-58.2437')"
1,2023-02-02 01:58:00,225,"('73.05019999999999', '-63.2437')"
1,2023-02-02 02:03:00,0,"('78.05019999999999', '-68.24369999999999')"
1,2023-02-02 02:08:00,25,"('52.0502', '-42.2437')"
1,2023-02-02 02:13:00,50,"('57.0502', '-47.2437')"
1,2023-02-02 02:18:00,75,"('62.0502', '-52.2437')"
1,2023-02-02 02:23:00,100,"('67.05019999999999', '-57.2437')"
1,2023-02-02 02:28:00,125,"('72.05019999999999', '-62.2437')"
1,2023-02-02 02:33:00,150,"('77.05019999999999', '-67.24369999999999')"
1,2023-02-02 02:38:00,175,"('51.0502', '-41.2437')"
1,2023-02-02 02:43:00,200,"('56.0502', '-46.2437')"
1,2023-02-02 02:48:00,225,"('61.0502', '-51.2437')"
1,2023-02-02 02:53:00,0,"('66.05019999999999', '-56.2437')"
1,2023-02-02 02:58:00,25,"('71.05019999999999', '-61.2437')"
1,2023-02-02 03:03:00,50,"('76.05019999999999', '-66.24369999999999')"
